id_cliente,nombre,email,segmento_demografico,tipo_contrato,fecha_alta
1,Manufacturas Perera S.L.U.,lperello@example.net,Startup,Premium,2025-05-10
2,Benet & Asociados S.A.,kripoll@example.com,PYME,Premium,2024-09-05
3,Inmobiliaria XKZW S.L.U.,jneira@example.com,Gran Empresa,Anual,2021-08-15
4,Distribuciones CFBZ S.L.,agataferreras@example.net,Startup,Mensual,2021-10-26
5,Godofredo Almazán Raya S.L.,heribertocarbonell@example.com,Gran Empresa,Mensual,2023-07-21
6,Servicios Colomer S.L.,eutropio23@example.net,Startup,Mensual,2023-07-17
7,Casanova y asociados S.L.N.E,gabino15@example.org,PYME,Premium,2024-02-17
8,Manufacturas OACU S.L.N.E,angelesrodenas@example.com,Startup,Mensual,2025-07-13
9,Instalaciones Mir S.L.,lujanruben@example.org,Gran Empresa,Anual,2023-06-18
10,Georgina Arnal Alba S.A.U,bgarriga@example.net,Gran Empresa,Premium,2025-02-06
11,Soluciones Iberia S.Coop.,dalmauitziar@example.net,Gran Empresa,Mensual,2022-04-25
12,Supermercados Internacionales S.L.N.E,fhuerta@example.net,Startup,Premium,2021-04-11
13,Familia Varela S.L.N.E,hmarcos@example.org,Startup,Premium,2023-07-10
14,Hnos Doménech S.L.,melchor77@example.net,Startup,Mensual,2022-02-25
15,Rocha y Pallarès S.Com.,hugosureda@example.com,PYME,Mensual,2021-03-25
16,Finanzas Llorente y asociados S.L.,narcisogargallo@example.net,Gran Empresa,Anual,2022-10-29
17,Desarrollo Inteligentes S.A.,pvall@example.org,Startup,Premium,2023-01-23
18,Banco Sans & Asociados S.L.,rosalesrufina@example.org,Gran Empresa,Anual,2022-03-16
19,Consultoría TRL S.L.,adrian68@example.org,Gran Empresa,Anual,2025-03-26
20,Infraestructuras QKA S.L.,dcarballo@example.com,Gran Empresa,Premium,2025-04-02
21,Hotel del Sur S.Coop.,nnavas@example.com,Gran Empresa,Mensual,2021-04-15
22,Hermanos Montenegro S.L.,espanolhector@example.com,Startup,Premium,2023-01-18
23,Garay y Rocha S.Coop.,damiancarretero@example.com,Gran Empresa,Premium,2021-10-02
24,Talleres Salas & Asociados S.A.,companysosimo@example.org,Startup,Anual,2022-08-09
25,Farmaceútica Esteban y asociados S.A.,bmarti@example.com,Startup,Anual,2023-02-02
26,Inmobiliaria Pereira S.L.N.E,nsaura@example.net,PYME,Mensual,2023-08-17
27,Familia Tejera S.C.P,leandrapedro@example.com,Startup,Anual,2025-02-08
28,Finanzas Globales S.Coop.,aura81@example.com,Gran Empresa,Mensual,2023-03-05
29,Manufacturas Internacionales S.C.P,gervasiocardona@example.net,Gran Empresa,Premium,2022-05-13
30,Inmobiliaria Andreu & Asociados S.L.L.,garrigacayetana@example.org,Gran Empresa,Premium,2021-06-16
31,Alimentación del Norte S.Com.,sorayamoles@example.com,Startup,Anual,2024-07-21
32,Girona & Asociados S.L.,marmolyolanda@example.org,PYME,Premium,2023-11-02
33,Hermanos Iñiguez S.L.N.E,noerey@example.net,Gran Empresa,Mensual,2021-08-25
34,Rey y asociados S.L.N.E,tomasbustamante@example.com,Startup,Anual,2023-03-19
35,Hnos Arnal S.L.,lola37@example.net,Gran Empresa,Premium,2024-05-15
36,José Antonio Pinto Gálvez S.Coop.,edununez@example.net,Gran Empresa,Mensual,2023-05-03
37,Inmobiliaria Castilla & Asociados S.L.,chaveselisabet@example.org,Gran Empresa,Anual,2023-08-05
38,Antón y asociados S.Coop.,iker02@example.com,Gran Empresa,Anual,2021-09-24
39,Hermanos Llano S.A.,dorita74@example.com,Gran Empresa,Mensual,2024-10-16
40,Herrero y González S.A.,anibalheredia@example.org,PYME,Premium,2025-05-17
41,Alimentación PN S.Com.,palomaresguadalupe@example.com,Startup,Mensual,2024-10-15
42,Martínez y asociados S.L.L.,mirta11@example.net,PYME,Premium,2024-04-17
43,Hnos Arenas S.Com.,marioacero@example.net,Startup,Premium,2021-12-28
44,Granados y asociados S.L.N.E,romerofrancisca@example.org,PYME,Premium,2022-06-22
45,Iglesia y Valderrama S.L.L.,hierrosamanta@example.com,PYME,Anual,2023-05-22
46,Macario Planas Cuéllar S.Com.,bsobrino@example.com,Gran Empresa,Premium,2021-11-16
47,Industrias Iberia S.L.N.E,reynaldo82@example.org,Startup,Mensual,2025-01-09
48,Promociones Gaya S.L.,toledozoraida@example.net,Startup,Premium,2024-02-27
49,Montaña & Asociados S.C.P,nicolasadelgado@example.com,Gran Empresa,Anual,2024-02-16
50,Minería YF S.Coop.,xsamper@example.net,PYME,Anual,2025-06-12
51,Minería Anaya y asociados S.Coop.,edelmiro23@example.net,Gran Empresa,Anual,2021-09-04
